year,Coal,Oil,Gas,Hydro,Solar,Storage,Other,Total
2011,0.0,353.1,51.69,6.71,0.0,0.0,0.0,418.94
2012,0.0,368.3,51.0,7.08,0.0,0.0,0.0,435.54
2013,0.0,355.76,54.91,6.57,0.0,0.0,0.01,427.55
2014,0.0,362.56,130.55,6.41,0.01,0.0,6.35,519.37
2015,0.0,389.58,137.08,7.44,0.02,0.0,4.76,552.13
2016,0.0,396.24,128.8,6.68,0.03,0.0,0.5,546.7
2017,0.0,410.58,120.11,6.77,0.05,0.0,1.38,551.66
2018,0.0,402.42,114.63,8.29,0.04,-0.09,2.79,543.01
2019,0.0,406.91,109.04,7.87,0.03,-0.01,0.66,538.2
2020,0.0,403.82,110.44,8.03,0.23,-0.06,0.12,538.17
2021,0.0,409.1,101.31,7.65,0.68,-0.09,0.0,532.57
